train_size,FFNN,CNN,CNN - FFNN,FFNN_gap,CNN_gap
250,0.678,0.6363333333333333,-0.04166666666666674,0.15799999999999992,0.10366666666666668
500,0.7316666666666667,0.7043333333333334,-0.02733333333333332,0.10233333333333328,0.02966666666666662
1000,0.7703333333333333,0.7363333333333333,-0.03400000000000003,0.08066666666666666,0.05166666666666675
2000,0.7883333333333333,0.788,-0.0003333333333332966,0.07066666666666666,0.04399999999999993
4000,0.8106666666666666,0.8163333333333334,0.005666666666666709,0.06408333333333338,0.03966666666666663
10000,0.8443333333333334,0.845,0.0006666666666665932,0.0419666666666666,0.0343
