,FFNN,CNN
weights_KB,3139.7890625,152.2265625
grads_KB,3139.7890625,152.2265625
adam_state_KB,6279.578125,304.453125
activations_train_KB,1698.5,6492.5
peak_train_step_measured_KB,4008.6796875,23588.986328125
inference_peak_activation_KB,768.0,1800.0
