layer,in_shape,out_shape,params,fwd_flops
Flatten,"(3, 32, 32)","(3072,)",0,0
Dense,"(3072,)","(256,)",786688,1572864
ReLU,"(256,)","(256,)",0,256
Dense,"(256,)","(64,)",16448,32768
ReLU,"(64,)","(64,)",0,64
Dense,"(64,)","(10,)",650,1280
