train_size,FFNN,CNN,CNN - FFNN,FFNN_gap,CNN_gap
250,0.257,0.2069,-0.050100000000000006,0.191,0.1571
500,0.2764,0.2847,0.00830000000000003,0.15360000000000001,0.14529999999999998
1000,0.2768,0.3348,0.057999999999999996,0.0892,0.1582
2000,0.3016,0.3976,0.09600000000000003,0.08690000000000003,0.12389999999999995
4000,0.3616,0.4712,0.10960000000000003,0.06740000000000002,0.10879999999999995
50000,0.4646,0.6208,0.1562,0.030480000000000007,0.054119999999999946
